ID,TITLE,ACTIVE,URL_web,URL_facebook,URL_twitter,URL_youtube,URL_instagram,URL_telegram,URL_tiktok,URL_linkedin,DATE_START_year_offline,DATE_START_year_digital,DATE_START_day_digital,DATE_END_year_digital,DATE_END_day_digital,LOCATION_country,LOCATION_company_address,LOCATION_company_zipcode,LOCATION_town,REACH,NATIVE,PUBLISHER_media_group,PUBLISHER_company_name,PODCAST_offered,PODCAST_native,TOPIC_general_information,TOPIC_special_topic,TOPIC_special_topic_description,OWNERSHIP,DNR,ID_original,lat,lng,REVENUE_specify_other,LANGUAGE_specify_other,createdAt,updatedAt,publishedAt,platforms,languages,revenues,province,region,,,,,,,,,,,,
11,3 Viles,true,http://3viles.com/,,,,,,,,,1999,,,,ES,"Sant Benet, 16-18 - 08302 Mataró, Barcelona",8302,Mataró,local,false,,"Capgròs Comunicació, SL",false,false,true,General,,private,false,ES_9,41.538532,2.4406966,,,2022-09-06T09:22:31.574Z,2023-01-27T11:11:07.777Z,2022-09-06T09:22:58.469Z,"print, web",catalan,consultancy_events_and_other,Barcelona,Cataluña,,,,,,,,,,,,
12,40 Putes,false,http://www.40putes.com/,https://www.facebook.com/40putes,https://twitter.com/40putes,,,,,,,2012,2012-03-05,2015,2015-12-24,ES,,,Mallorca,local,true,,,,,,,,private,false,ES_11,39.6952629,3.0175712,,,2022-09-06T09:22:37.631Z,2023-01-27T11:10:51.852Z,2022-09-06T09:22:58.469Z,web,catalan,,Illes Balears,Balears, Illes,,,,,,,,,,,
13,440 Classica,true,http://www.enderrock.cat/440classica,https://www.facebook.com/GrupEnderrock,https://twitter.com/enderrock,https://www.youtube.com/user/grupenderrock,https://www.instagram.com/grupenderrock/,,,,,2006,,,,ES,"Muntaner, 477, bxs. 2a · 08021 Barcelona",8021,Barcelona,local,false,,Grup Enderrock Edicions SL,false,false,false,Cultura (literatura, cine, música, arte),Música clásica y jazz,private,false,ES_12,41.4024199,2.1382879,,,2022-09-06T09:22:17.021Z,2023-01-27T11:11:07.798Z,2022-09-06T09:22:58.469Z,"print, web",catalan,"public_or_private_subsidies, advertising",Barcelona,Cataluña,,,,,,,,,
14,48horasBadajoz,true,http://48horasbadajoz.com/,https://www.facebook.com/48horasBadajoz,https://twitter.com/48horasBadajoz,https://www.youtube.com/48horasbadajoz,https://www.instagram.com/48horasbadajoz,,,,,2013,,,,ES,"Felipe Checa 24 – Espacio Casco Coworking Badajoz, 06002",6002,Badajoz,local,true,,,false,false,false,Ocio y entretenimiento,Ocio,private,false,ES_13,38.8783217,-6.9717469,,,2022-09-06T09:10:56.988Z,2023-01-27T11:11:30.661Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Badajoz,Extremadura,,,,,,,,,,,,
15,48horasCáceres,true,http://48horascaceres.com/,https://www.facebook.com/48horascaceres,https://twitter.com/48horascaceres,https://www.youtube.com/48horasbadajoz,https://www.instagram.com/48horasbadajoz,,,,,2014,,,,ES,"Felipe Checa 24 – Espacio Casco Coworking Badajoz, 06002",6002,Cáceres,local,true,,,false,false,false,Ocio y entretenimiento,Ocio,private,false,ES_14,38.8783217,-6.9717469,,,2022-09-06T09:10:57.033Z,2023-01-27T11:11:31.441Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Cáceres,Extremadura,,,,,,,,,,,,
16,4gnews,true,http://www.4gnews.pt,https://www.facebook.com/4gnewspt/,https://twitter.com/4gnewspt,https://www.youtube.com/channel/UC5GGdEs1HaQcQDCKfVOQu5w,https://www.instagram.com/4gnewspt/,,,,2020,2020,2020-06-08,,,PT,"R. da Lionesa, 446",4615-414,Matosinhos,national,true,,"7Graus, Lda.",false,false,false,Ciencia y tecnología,,private,false,PT_3,41.215361,-8.623283,Comissão sobre vendas noutros websites,,2022-09-06T08:54:29.859Z,2023-01-27T11:12:21.044Z,2022-09-06T09:22:58.469Z,web,portuguese,consultancy_events_and_other,Porto,Porto,,,,,,,,,,,,
17,50x7,false,http://www.50x7.com/,,https://twitter.com/50x7com,,,,,,,2012,,,,ES,,,Barcelona,local,true,,,,,,,,private,false,ES_17,41.3873974,2.168568,,,2022-09-06T09:22:21.569Z,2023-01-27T11:11:07.818Z,2022-09-06T09:22:58.469Z,web,catalan,,Barcelona,Cataluña,,,,,,,,,,,,
18,5 más el Descuento,true,http://www.5maseldescuento.es/,https://www.facebook.com/5maseldescuento/,https://twitter.com/5maseldescuento,https://www.youtube.com/user/5maseldescuento,https://www.instagram.com/5maseldescuento/,https://telegram.me/s/cincomaseldescuento,,,,2010,,,,ES,"DOCTOR FERRÁN 33, 02004 ALBACETE",2004,Albacete,local,true,,RUBÉN OLIVA GARCÍA,false,false,false,Deportes,,private,false,ES_15,38.995188,-1.8639384,,,2022-09-06T09:21:35.318Z,2023-01-27T11:11:00.705Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Albacete,Castilla - La Mancha,,,,,,,,,,,,
19,5 TV Internet,false,https://www.5tv.es,,,,,,,,,2018,,,,ES,"Comercio, 26 2º - 15200 - Noia (A Coruña)",15200,Noia,local,false,,Veintisie7e Multimedia,false,false,true,General,,private,false,ES_16,42.7834541,-8.8879345,Presentación de eventos,,2022-09-06T08:54:24.079Z,2023-01-27T11:11:33.055Z,2022-09-06T09:22:58.469Z,"tv, web","spanish, galician",,A Coruña,Galicia,,,,,,,,,,,,
20,65ymás,true,https://www.65ymas.com/,https://www.facebook.com/65ymas-2002318916504647/,https://www.65ymas.com/,https://www.youtube.com/channel/UCRBdO5ig_bwnEoytOJRIaZA,https://www.instagram.com/65ymas/,,,,,2018,,,,ES,"Gerenal Pardiñas, 15. Primera Planta.  -  28001 Madrid",28001,Madrid,national,true,,"Agkam Strategies, SL",false,false,false,Otros,personas jubiladas y mayores,,false,ES_19,40.42543,-3.678831,,,2022-09-06T09:16:45.357Z,2023-01-27T11:11:50.429Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Madrid,Madrid, Comunidad de,,,,,,,,,,,
21,6 Toros 6,false,https://www.revista6toros6.es/,,,,,,,,,,,,,ES,Antonio López 249- 1° Local E1. Edificio Vértice 28041 Madrid,28041,Madrid,national,true,,,false,false,,Tauromaquia,cerrada,,false,ES_18,40.3770465,-3.6945466,,,2022-09-06T09:16:39.244Z,2023-01-27T11:11:50.405Z,2022-09-06T09:22:58.469Z,web,spanish,,Madrid,Madrid, Comunidad de,,,,,,,,,,,
22,772 El diari digital de Castellbisbal,true,http://www.772.cat/,https://www.facebook.com/772cat,https://twitter.com/772cat,https://www.youtube.com/772cat/,https://www.instagram.com/772cat/,https://t.me/www772cat,,,,2012,2012-10-07,,,ES,"Jacint Verdaguer, 11, local 2 - 08755 CASTELLBISBAL, Barcelona",8755,Castellbisbal,local,true,,"772, S.C.P.",false,false,true,General,,private,false,ES_22,41.4719619,1.9807879,,,2022-09-06T09:22:12.441Z,2023-01-27T11:11:07.858Z,2022-09-06T09:22:58.469Z,web,catalan,"advertising, donations, branded_content, public_or_private_subsidies",Barcelona,Cataluña,,,,,,,,,,,,
23,777 Comunica,true,http://www.setsetset.cat/,https://www.facebook.com/777comunica,https://twitter.com/777comunica,https://www.youtube.com/channel/UCe_nXjnK2DK5IwPkFBVaOaw,,,,,,2021,2021-02-12,,,ES,Francesc Macià 66 - 08292 - Esparreguera,8292,Esparreguera,local,false,,,false,false,true,General,,private,false,ES_23,41.5392648,1.8669245,,,2022-09-06T09:22:11.598Z,2023-01-27T11:11:07.879Z,2022-09-06T09:22:58.469Z,"print, web",catalan,"public_or_private_subsidies, suscription_membership_payment, advertising",Barcelona,Cataluña,,,,,,,,,,,,
24,7deRàdio,false,http://www.7deradio.cat/,https://www.facebook.com/7deradio,https://twitter.com/7deradio,https://youtube.com/7deradiocat,https://instagram.com/7deradio,,,,,2011,,,,ES,,,Barcelona,local,false,,,,,,,,private,false,ES_24,41.3873974,2.168568,,,2022-09-06T09:22:21.636Z,2023-01-27T11:11:07.898Z,2022-09-06T09:22:58.469Z,web,catalan,,Barcelona,Cataluña,,,,,,,,,,,,
25,7 Dies Vallès,false,http://www.7diesvalles.com/actualitat.html,,https://twitter.com/7diesvalles,,,,,,,,,2016,2016-01-20,ES,"Avenida Sant Esteve, 83 local 5 - 08211 Castellar del Vallès",8211,"Castellar del Vallès, Sentmenat, Sant Llorenç Savall",local,false,,7d Comunicació scp,,,,,,private,false,ES_20,41.6162814,2.0918807,,,2022-09-06T09:22:15.125Z,2023-01-27T11:11:07.838Z,2022-09-06T09:22:58.469Z,web,catalan,,Barcelona,Cataluña,,,,,,,,,,,,
26,7directo.com,false,http://7directo.com/,,,,,,,,,,,,,ES,"Cabojaje, 16,  11379 LOS BARRIOS",11379,Los Barrios,local,false,,"Editores Hupa, S.L.
",,,,,,private,false,ES_25,36.1886407,-5.4321074,,,2022-09-06T09:11:09.746Z,2023-01-27T11:10:37.874Z,2022-09-06T09:22:58.469Z,web,spanish,,Cádiz,Andalucía,,,,,,,,,,,,
27,7K Revista Dominical,true,http://www.naiz.eus/es/hemeroteca/7k,https://www.facebook.com/zazpika,https://twitter.com/naiz_info,,https://www.instagram.com/naiz.eus/?hl=en,http://telegram.me/naiz_info,,,,,,,,ES,"Portuetxe 23-2, 20018-Donostia.",20018,San Sebastián,local,false,,Herritar Berri SLU,true,false,true,General,,private,false,ES_26,43.3016951,-2.0112123,,,2022-09-06T09:21:33.237Z,2023-01-27T11:12:19.128Z,2022-09-06T09:22:58.469Z,"radio, print, web","basque, spanish","advertising, ecommerce, suscription_membership_payment, public_or_private_subsidies",Gipuzkoa,País Vasco,,,,,,,,,,,,
28,7 Margens,true,http://setemargens.com,https://www.facebook.com/7margens/,https://twitter.com/7margens,https://www.youtube.com/channel/UC9oV5FcMuCvAUWqPAu_B70w,https://www.instagram.com/7margens/,,,,2019,2019,2019-01-15,,,PT,"Lg. da Luz, 18",1600-764,Lisboa,national,true,,Associação Porta 18,false,false,false,Religión y espiritualidad,,private,false,PT_4,38.7471076,-9.1704497,,,2022-09-06T08:54:12.630Z,2023-01-27T11:11:39.537Z,2022-09-06T09:22:58.469Z,web,portuguese,"public_or_private_subsidies, donations",Lisboa,Lisboa,,,,,,,,,,,,
29,7 TV Andalucía,true,https://7tvandalucia.es/portada/,https://www.facebook.com/ondaluztv,https://twitter.com/ondaluztv,,https://www.instagram.com/opcions.coop/,,,,,2012,,,,ES,Parque Empresarial  De la Investigación – Jerez de la Frontera 11407 - Cádiz,11407,Jerez de la Frontera,local,false,Publicaciones del Sur,PUBLICACIONES DEL SUR SA,false,false,true,General,,private,false,ES_21,36.7047853,-6.1367935,productora,,2022-09-06T09:11:01.475Z,2023-01-27T11:10:37.850Z,2022-09-06T09:22:58.469Z,"web, tv",spanish,"advertising, branded_content, consultancy_events_and_other",Cádiz,Andalucía,,,,,,,,,,,,
30,8 Madrid TV,false,http://www.8madrid.tv/,https://www.facebook.com/8madrid,https://twitter.com/8MadridTV,http://www.youtube.com/8madrid,https://www.instagram.com/8madridtv/,,,,,,,,,ES,"Ana Mariscal 7, Ciudad de la Imágen - 28223. Pozuelo de Alarcón. Madrid.",28223,Madrid,local,false,,,,,,,,private,false,ES_27,40.3956121,-3.7958547,,,2022-09-06T09:16:22.683Z,2023-01-27T11:11:50.449Z,2022-09-06T09:22:58.469Z,web,spanish,,Madrid,Madrid, Comunidad de,,,,,,,,,,,
31,8madrid TV,true,https://www.8madrid.tv/,https://www.facebook.com/8madridTV/,https://twitter.com/8MadridTV,http://www.youtube.com/8madrid,https://www.instagram.com/8madridtv/,,,,,2006,,,,ES,"Ana Mariscal, 7. Ciudad de la Imagen. 28223. Pozuelo de Alarcón (Madrid)",28223,Pozuelo de Alarcón,local,true,,"TELEVISIÓN DIGITAL MADRID, S.A.",false,false,false,Ocio y entretenimiento,cine,,false,ES_29,40.3956121,-3.7958547,,,2022-09-06T09:16:22.647Z,2023-01-27T11:11:50.474Z,2022-09-06T09:22:58.469Z,"tv, web",spanish,advertising,Madrid,Madrid, Comunidad de,,,,,,,,,,,
32,8 TV,true,http://www.8tv.cat/,,https://twitter.com/8tvcat,,,,,,,2006,,,,ES,"Avenida Diagonal, 477, 16a planta, 08036 Barcelona",8036,Barcelona,local,false,,Emissions Digitals de Catalunya S.A.U.,false,false,false,Ocio y entretenimiento,Parrilla de series y programas del canal de televisión,private,false,ES_28,41.3925658,2.1458302,,,2022-09-06T09:22:18.106Z,2023-01-27T11:11:07.919Z,2022-09-06T09:22:58.469Z,"app, web, tv",catalan,"public_or_private_subsidies, advertising",Barcelona,Cataluña,,,,,,,,,,,,
33,91 FM Rádio,true,https://91fmradio.pt/a/,https://www.facebook.com/91fmradiopt/,,https://www.youtube.com/channel/UC4Zr0tIehPkPGQ-dlb3GgyA,https://www.instagram.com/91fmradio/,,,,,,,,,PT,,,Óbidos,local,false,,,false,false,false,Cultura (literatura, cine, música, arte),,private,false,PT_5,39.3604212,-9.1582014,,,2022-09-06T08:54:13.928Z,2023-01-27T11:11:38.212Z,2022-09-06T09:22:58.469Z,"web, radio",portuguese,advertising,Leiria,Leiria,,,,,,,,,
34,93 Metros,false,http://93metros.com/,https://www.facebook.com/93metros,https://twitter.com/93metros,https://www.youtube.com/channel/UCOd_DFspTRB8-9CoS3OBYSQ,https://www.instagram.com/93metros/,,,,,2012,,2022,2022-05-01,ES,"Rodríguez San Pedro, 2 - 28015 Madrid",28015,Madrid,national,true,,93 metros SL,false,false,false,Otros,Oferta de producciones de periodismo de calidad,private,false,ES_32,40.4316935,-3.7054238,,,2022-09-06T09:16:29.492Z,2023-01-27T11:11:50.497Z,2022-09-06T09:22:58.469Z,web,spanish,,Madrid,Madrid, Comunidad de,,,,,,,,,,,
35,97.7 Radio,true,http://www.la977.com/,https://www.facebook.com/la977,https://twitter.com/977radio,https://www.youtube.com/channel/UCz71TJp3IoWJ8qWBZ-l_6jw,https://www.instagram.com/977radio/,,,,,2004,,,,ES,"Traginers, 7 46014 VALENCIA",46014,Valencia,local,false,Prensa Ibérica,"Intervalencia, S.A.",true,false,true,General,,private,false,ES_33,39.4598938,-0.406591,,,2022-09-06T09:21:52.255Z,2023-01-27T11:11:27.295Z,2022-09-06T09:22:58.469Z,"web, app, radio",spanish,advertising,Valencia/València,Comunitat Valenciana,,,,,,,,,,,,
36,99.9 Valencia Radio,true,http://la999.es/,https://www.facebook.com/999VlcRadio,https://twitter.com/999vlcRadio,https://www.youtube.com/channel/UC22qtpp12KHg8s_WqhIWhFw,https://www.instagram.com/999valenciaradio/,,,,,2015,,,,ES,"Felipe Salvador, 5, 46022 Valencia",46022,Valencia,local,false,,,true,false,true,General,,private,false,ES_34,39.4625253,-0.3387695,,,2022-09-06T09:21:55.723Z,2023-01-27T11:11:27.317Z,2022-09-06T09:22:58.469Z,"app, web, radio",spanish,advertising,Valencia/València,Comunitat Valenciana,,,,,,,,,,,,
37,9 exili,false,http://www.9exili.com/,https://www.facebook.com/9exili,https://twitter.com/9exili,,,,,,,2013,,,,ES,,,Valencia,local,false,,,,,,,,private,false,ES_30,39.4699075,-0.3762881,,,2022-09-06T09:21:53.572Z,2023-01-27T11:11:27.271Z,2022-09-06T09:22:58.469Z,web,valencian,,Valencia/València,Comunitat Valenciana,,,,,,,,,,,,
38,9laLoma.tv,true,http://9laloma.tv/,https://www.facebook.com/9laloma,https://twitter.com/9laLoma,https://www.youtube.com/user/9laLoma,https://www.instagram.com/9laloma/,https://9laloma.tv/tag/telegram/,,,,2006,,,,ES,"Paseo las Montalbas, 23440 Baeza, Jaén",23440,Úbeda,local,false,,,false,false,true,General,,private,false,ES_35,37.9998889,-3.4539557,,,2022-09-06T09:16:58.882Z,2023-01-27T11:10:42.083Z,2022-09-06T09:22:58.469Z,"app, tv, web",spanish,advertising,Jaén,Andalucía,,,,,,,,,,,,
39,9 Magazine,true,http://9magazin.el9nou.cat/,https://www.facebook.com/el9nou,https://twitter.com/el9nou,https://www.youtube.com/channel/UCObpBdpXZ2kEqtZh4EQXQrQ,,,,,,2006,,,,ES,"Plaça de la Catedral, 2. Vic.",8500,Vic,local,false,,"PREMSA D´OSONA, S.A.",false,false,true,General,,private,false,ES_31,41.9280192,2.2546755,,,2022-09-06T09:22:29.958Z,2023-01-27T11:11:07.939Z,2022-09-06T09:22:58.469Z,"tv, radio, web, print",catalan,"advertising, public_or_private_subsidies",Barcelona,Cataluña,,,,,,,,,,,,
40,Abajo el Telón,false,http://www.abajoeltelon.com/,https://www.facebook.com/AbajoElTelonWEb,https://twitter.com/AbajoelTelon,,,,,,,,,,,ES,,28903,,national,true,,Samuel García Arroyo,,,,,,private,false,ES_44,40.3156239,-3.7181247,,,2022-09-06T09:16:27.418Z,2023-01-27T11:12:13.343Z,2022-09-06T09:22:58.469Z,web,spanish,,ES Unknown,,,,,,,,,,,,,
41,Abanilla Digital,true,https://abanilladigital.com/,https://www.facebook.com/abanilladigital,https://twitter.com/AbanillaDigital,https://www.youtube.com/channel/UCKVPHwixXljUcQ3Y4zw-pGg?feature=emb_ch_name_ex,,,,,,2011,2011-12-03,,,ES,,30940,Abanilla,local,true,,,false,false,true,General,,private,false,ES_45,38.2051808,-1.0406601,,,2022-09-06T09:21:43.922Z,2023-01-27T11:12:10.198Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Murcia,Murcia, Región de,,,,,,,,,,,
42,Abarandiaadia,true,http://abarandiaadia.com/,https://www.facebook.com/Abarandiaadia/,https://twitter.com/Ae7d,https://www.youtube.com/channel/UCowHSnFB3sVEc-jD_JxrN3Q,https://www.instagram.com/abarandiaadia/,,,,,2013,,,,ES,Abarán (Murcia),30550,"Bullas, Caravaca, Cehegín, Calasparra, Moratalla, Mula",local,true,,,false,false,true,General,,private,false,ES_46,38.2040853,-1.4012039,,,2022-09-06T09:21:41.402Z,2023-01-27T11:12:10.218Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Murcia,Murcia, Región de,,,,,,,,,,,
43,ABC,true,http://www.abc.es/,https://www.facebook.com/ABCes,https://twitter.com/abc_es,,https://instagram.com/abc_diario,,,,,1995,1995-09-20,,,ES,"Juan Ignacio Luca de Tena, 7 28027 Madrid",28027,Madrid,national,false,Vocento,"DIARIO ABC, SL",true,true,true,General,,private,true,ES_47,40.4478154,-3.6348227,,,2022-09-06T09:16:52.124Z,2023-01-27T11:11:50.585Z,2022-09-06T09:22:58.469Z,"web, print, app",spanish,"branded_content, ecommerce, advertising, suscription_membership_payment",Madrid,Madrid, Comunidad de,,,,,,,,,,,
44,ABC Play,true,https://www.abc.es/play/,https://www.facebook.com/ABCplay.cine/,https://twitter.com/abc_playcine,,,,,,,2017,2017-09-26,,,ES,"Calle Juan Ignacio Luca de Tena, 7, 28027 Madrid",28027,Madrid,national,true,Vocento,"Comeresa Prensa, S.L. (CM Vocento)",false,false,false,Ocio y entretenimiento,series y tv,private,false,ES_48,40.4478154,-3.6348227,,,2022-09-06T09:16:52.160Z,2023-01-27T11:11:50.609Z,2022-09-06T09:22:58.469Z,"app, web",spanish,"branded_content, suscription_membership_payment, advertising",Madrid,Madrid, Comunidad de,,,,,,,,,,,
45,ABC Portugal,true,http://www.abcportugal.pt/,https://www.facebook.com/ABC-Portugal-327961320650357/,,,,,,,,2006,,,,PT,,,Ourém,local,false,,,false,false,true,General,,private,false,PT_20,39.6564974,-8.5773408,,,2022-09-06T08:54:31.580Z,2023-02-17T17:27:10.135Z,2022-09-06T09:22:58.469Z,"web, radio",portuguese,,Santarém,Santarém,,,,,,,,,,,,
46,Abejar Radio,true,https://www.radioelabejar.com/,https://www.facebook.com/abejarradiofm/,https://twitter.com/AbejarRadio,,,,,,,2011,,,,ES,"Camino del Abejar, 100, 50190 Garrapinillos (Zaragoza)",50190,Carrapinillos,national,true,,Centro Neuropsiquiátrico Nuestra Señora del Carmen,true,true,false,Otros,Actividad sociosanitaria de un centro psiquiátrico. Programas de radio variados,private,false,ES_49,41.676977,-0.9861572,,,2022-09-06T09:21:44.495Z,2023-01-27T11:10:47.675Z,2022-09-06T09:22:58.469Z,"app, radio, web",spanish,,Zaragoza,Aragón,,,,,,,,,,,,
47,A Bola,true,https://http://www.abola.pt/,https://www.facebook.com/abolapt,https://twitter.com/abolapt,https://www.youtube.com/channel/UClLezIYClTchcd4_jGFQ0Cg,https://www.instagram.com/abolapt/,,,https://pt.linkedin.com/company/a-bola,1945,2000,,,,PT,"Travessa da Queimada, Nº 23, R/C 1249-113 Lisboa",1249-113 ,Lisboa,national,false,Sociedade Vicra Desportiva,Sociedade Vicra Desportiva,false,false,false,Deportes,Futebol,private,true,PT_6,38.7129722,-9.1441918,,,2022-09-06T08:54:17.122Z,2023-01-27T11:11:39.559Z,2022-09-06T09:22:58.469Z,"app, web, tv, print",portuguese,"ecommerce, advertising, suscription_membership_payment, branded_content",Lisboa,Lisboa,,,,,,,,,,,,
48,Abolsamia,true,https://http://www.abolsamia.pt/pt/pagina-inicial,https://pt-pt.facebook.com/abolsamia/,,https://www.youtube.com/user/abolsamia,https://www.instagram.com/abolsamia/?hl=pt,,,,1996,2018,,,,PT,"Rua Nelson Pereira Neves, Lj 1 e 2",2670-338,Loures,national,false,"Nugon - Publicações e Representações Publicitárias, Lda",,false,false,false,Otros,Máquinas agrícolas,private,false,PT_21,38.8412848,-9.1714045,,,2022-09-06T08:54:12.501Z,2023-01-27T11:11:39.623Z,2022-09-06T09:22:58.469Z,"print, web",portuguese,"suscription_membership_payment, advertising",Lisboa,Lisboa,,,,,,,,,,,,
